id,cyber_star_name,mcn_organ_id,description,fans,works,status,update_time,head_img,is_download_head,head_img_network,country,die_out_reason,mark,insert_time,association_feature,显性=1，隐性=2,是否为抖音
1,Sheng Zhang,12148,,,,1,18/6/2024 10:49:04,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/344074953_912556043137797_4557150007286050610_n.jpg?stp=dst-jpg_p200x200&_nc_cat=104&ccb=1-7&_nc_sid=11e7ab&_nc_ohc=dyIExYX-zZYAX_6CNAj&_nc_ht=scontent-atl3-2.xx&oh=00_AfCGasM5F8w-LXdN-wDJeCVbkrpY5r14N9J-JaWngTUuFw&oe=659A8CFB,0,,越南,,,20/3/2024 18:23:38,显性,,
2,Bai Tou Shan,12148,,,,1,18/6/2024 10:49:04,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/344538006_6034167706680410_3702213713473980092_n.jpg?stp=dst-jpg_p200x200&_nc_cat=101&ccb=1-7&_nc_sid=5740b7&_nc_ohc=umEbNe-8BPIAX_cms-w&_nc_ht=scontent-dfw5-1.xx&oh=00_AfD-wedvutcY26_gWL4H3OsshQD4hhJBm9Wtkq95YNrluA&oe=659AB713,0,,韩国,,,20/3/2024 18:23:38,显性,,
3,Tang Sha,12148,,,,1,18/6/2024 10:49:04,https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-1/343692604_265868302529552_5688548636046266539_n.jpg?stp=dst-jpg_p200x200&_nc_cat=103&ccb=1-7&_nc_sid=11e7ab&_nc_ohc=q6GiMOXUOMIAX8qTyIl&_nc_ht=scontent-lax3-2.xx&oh=00_AfATwvo_3KNNF4GC_cfAl4bVJQzJ-9NtYdSAd-oVAJVVJA&oe=6590B100,0,,美国,,,20/3/2024 18:23:38,显性,,
4,Wenyue Guo,12148,,,,1,18/6/2024 10:49:04,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-1/276214825_103450735646405_755107341627612809_n.jpg?stp=dst-jpg_p200x200&_nc_cat=106&ccb=1-7&_nc_sid=5740b7&_nc_ohc=mKOx3A3wZDkAX9ITQcj&_nc_ht=scontent-atl3-1.xx&oh=00_AfAryDg3hyBtgdS7r-0V0shOfqvCh0HpiJ67TNE1omc9jQ&oe=659A57E7,0,,,1,,20/3/2024 18:23:38,显性,,
5,Yang Xin,12209,,,,1,18/6/2024 10:49:04,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/297893913_149195807730633_5604587201576006490_n.jpg?stp=dst-jpg_s200x200&_nc_cat=104&ccb=1-7&_nc_sid=5740b7&_nc_ohc=O50W-AvwWe0AX-0qQ1C&_nc_ht=scontent-iad3-1.xx&oh=00_AfAf3bmi2ths5mHfP4S25hCTWwE-yFzOL7Np7mzF_oYf6g&oe=659B99F6,0,,,,,20/3/2024 18:23:38,显性,,
6,ヒマラヤ y河r,12209,,,,1,18/6/2024 10:49:04,https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-1/324415989_432305092355816_9129670696326129375_n.jpg?stp=dst-jpg_p200x200&_nc_cat=105&ccb=1-7&_nc_sid=5740b7&_nc_ohc=4BXwP20QJ9oAX97tt2V&_nc_ht=scontent-lax3-1.xx&oh=00_AfBirCFFW4YDIYAkTJqF0L6wq04Ko4auanKdJ6aWbS65EA&oe=659BFF6E,0,,,,,20/3/2024 18:23:38,显性,,
7,Tongjun Meng,12209,,,,1,18/6/2024 10:49:04,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/277706204_110006468335219_2837827896564718365_n.jpg?stp=dst-jpg_p200x200&_nc_cat=103&ccb=1-7&_nc_sid=11e7ab&_nc_ohc=OenPHYYVJMUAX9tijMR&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBh4tHApyZe4eb0aHD-daEdJohHO_CRZ6DBqE_7qnVvPw&oe=659A5A0D,0,,,,,20/3/2024 18:23:38,显性,,
8,阳菜,12209,,,,1,18/6/2024 10:49:04,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/289128573_537551768157316_7549257410501169129_n.jpg?stp=dst-jpg_p200x200&_nc_cat=111&ccb=1-7&_nc_sid=5740b7&_nc_ohc=1oDnq9tqsDYAX-GCMFd&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBdQ8n0y4nMg5diTZLLb6iG1IzlT5omonCvwXHFflQzRw&oe=659B549B,0,,,,,20/3/2024 18:23:38,显性,,
9,Bmb Stars,12209,,,,1,18/6/2024 10:49:04,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/272329122_672571483929224_5837459941936730126_n.jpg?stp=dst-jpg_s200x200&_nc_cat=107&ccb=1-7&_nc_sid=5740b7&_nc_ohc=mC8W3fQqN8EAX_jtqzl&_nc_ht=scontent-iad3-1.xx&oh=00_AfAHWzY5QIdU8ATutberQ9Mftno30MAMIL9Gd2d-E65yTA&oe=659A661B,0,,,,,20/3/2024 18:23:38,显性,,
10,美国之音中文网,11331,,,,1,18/6/2024 10:49:04,https://scontent.xx.fbcdn.net/v/t39.30808-1/352785348_961297231960740_3821629193353853067_n.png?stp=dst-png_p200x200&_nc_cat=105&ccb=1-7&_nc_sid=596444&_nc_ohc=KMzu0BU2wS8AX-Xgdwb&_nc_ht=scontent.xx&oh=00_AfBAuG2BCraiJz40FDABVc2Fam3otmZgZA9v6CRp4zHXeA&oe=65904FF6,0,,美国,,,20/3/2024 18:23:38,显性,,
